image,iou,precision,recall,l2
photo_2026-03-30_15-11-07.jpg,0.031162370980251715,0.9978507462685972,0.031164462742114662,0.3251471
photo_2026-03-30_15-11-08 (2).jpg,0.0,0.0,0.0,0.54420704
photo_2026-03-30_15-11-08.jpg,0.0,0.0,0.0,0.5835181
photo_2026-03-30_15-11-09.jpg,0.07513170138229337,0.9914805178321965,0.07518023648181266,0.39562196
photo_2026-03-30_15-11-10.jpg,0.7240383952574556,0.9654067095588124,0.7433234552611726,0.080721185
photo_2026-03-30_15-11-11.jpg,0.5368807279069355,0.9732841504518829,0.5449110462915514,0.13107084
photo_2026-03-30_15-11-12.jpg,0.7396713731404799,0.9125516291138274,0.7961001721586084,0.14246911
photo_2026-03-30_15-11-13.jpg,0.6442937186670552,0.8292877341481388,0.742813429664252,0.09907614
photo_2026-03-30_15-11-14.jpg,0.781413231324865,0.9889170127540121,0.7883168782322366,0.04785648
photo_2026-03-30_15-11-17.jpg,0.37038967130033507,0.8655017048221981,0.3930106857988057,0.14022948
